AGE_GROUP,TOTALPOSITIVE,DATE,CASE_PERCENT,DEATHS,DEATHS_PERCENT,CA_PERCENT
65,117343,11/23/2020,10.4,13858,73.6,15.6
0-17,126874,11/24/2020,11.1,2,0,22.5
18-49,682308,11/24/2020,59.6,1366,7.2,43.5
50-64,214756,11/24/2020,18.8,3620,19.1,18.4
65,119130,11/24/2020,10.4,13941,73.6,15.6
0-17,128707,11/25/2020,11.1,2,0,22.5
18-49,690862,11/25/2020,59.6,1370,7.2,43.5
50-64,217589,11/25/2020,18.8,3639,19.1,18.4
65,120544,11/25/2020,10.4,14019,73.7,15.6
0-17,130355,11/26/2020,11.1,2,0,22.5
18-49,698204,11/26/2020,59.6,1370,7.2,43.5
50-64,219932,11/26/2020,18.8,3660,19.2,18.4
65,121832,11/26/2020,10.4,14076,73.7,15.6
0-17,131829,11/27/2020,11.1,2,0,22.5
18-49,705285,11/27/2020,59.6,1372,7.2,43.5
50-64,222191,11/27/2020,18.8,3668,19.2,18.4
65,123005,11/27/2020,10.4,14111,73.7,15.6
0-17,133586,11/28/2020,11.1,2,0,22.5
18-49,714382,11/28/2020,59.6,1374,7.2,43.5
50-64,225207,11/28/2020,18.8,3675,19.2,18.4
65,124744,11/28/2020,10.4,14136,73.7,15.6
0-17,135365,11/29/2020,11.2,2,0,22.5
18-49,722382,11/29/2020,59.6,1377,7.2,43.5
50-64,227953,11/29/2020,18.8,3678,19.1,18.4
65,126255,11/29/2020,10.4,14162,73.7,15.6
0-17,136904,11/30/2020,11.2,2,0,22.5
18-49,729630,11/30/2020,59.6,1376,7.1,43.5
50-64,230204,11/30/2020,18.8,3687,19.2,18.4
65,127432,11/30/2020,10.4,14183,73.7,15.6
0-17,139427,12/1/2020,11.2,2,0,22.5
18-49,741663,12/1/2020,59.5,1386,7.2,43.5
50-64,234277,12/1/2020,18.8,3703,19.1,18.4
65,129548,12/1/2020,10.4,14276,73.7,15.6
0-17,141712,12/2/2020,11.2,2,0,22.5
18-49,752442,12/2/2020,59.5,1391,7.1,43.5
50-64,237843,12/2/2020,18.8,3721,19.1,18.4
65,131495,12/2/2020,10.4,14366,73.7,15.6
0-17,144555,12/3/2020,11.2,2,0,22.5
18-49,765403,12/3/2020,59.5,1403,7.1,43.5
50-64,241906,12/3/2020,18.8,3758,19.1,18.4
65,133635,12/3/2020,10.4,14518,73.8,15.6
0-17,147807,12/4/2020,11.3,2,0,22.5
18-49,780365,12/4/2020,59.5,1411,7.1,43.5
50-64,246393,12/4/2020,18.8,3782,19.1,18.4
65,135981,12/4/2020,10.4,14612,73.8,15.6
0-17,151540,12/5/2020,11.3,2,0,22.5
18-49,798102,12/5/2020,59.5,1420,7.1,43.5
50-64,251923,12/5/2020,18.8,3808,19.1,18.4
65,139047,12/5/2020,10.4,14699,73.8,15.6
0-17,155054,12/6/2020,11.3,2,0,22.5
18-49,812529,12/6/2020,59.5,1434,7.2,43.5
50-64,256392,12/6/2020,18.8,3822,19.1,18.4
65,141371,12/6/2020,10.3,14769,73.7,15.6
0-17,158338,12/7/2020,11.4,2,0,22.5
18-49,826081,12/7/2020,59.4,1437,7.2,43.5
50-64,260565,12/7/2020,18.7,3829,19.1,18.4
65,143631,12/7/2020,10.3,14818,73.8,15.6
0-17,162504,12/8/2020,11.4,2,0,22.5
18-49,844391,12/8/2020,59.4,1450,7.2,43.5
50-64,266080,12/8/2020,18.7,3852,19,18.4
65,146465,12/8/2020,10.3,14949,73.8,15.6
0-17,166453,12/9/2020,11.5,2,0,22.5
18-49,861727,12/9/2020,59.4,1461,7.1,43.5
50-64,271628,12/9/2020,18.7,3891,19,18.4
65,149303,12/9/2020,10.3,15103,73.8,15.6
0-17,171218,12/10/2020,11.5,3,0,22.5
18-49,882580,12/10/2020,59.4,1467,7.1,43.5
50-64,278211,12/10/2020,18.7,3913,19,18.4
65,152545,12/10/2020,10.3,15259,73.9,15.6
0-17,175820,12/11/2020,11.6,3,0,22.5
18-49,903402,12/11/2020,59.4,1473,7.1,43.5
50-64,285130,12/11/2020,18.7,3952,19,18.4
65,155904,12/11/2020,10.2,15382,73.9,15.6
0-17,179873,12/12/2020,11.6,3,0,22.5
18-49,921022,12/12/2020,59.4,1488,7.1,43.5
50-64,290746,12/12/2020,18.7,3983,19,18.4
65,158920,12/12/2020,10.2,15520,73.9,15.6
0-17,184347,12/13/2020,11.6,3,0,22.5
18-49,940264,12/13/2020,59.3,1495,7.1,43.5
50-64,297006,12/13/2020,18.7,3992,18.9,18.4
65,162211,12/13/2020,10.2,15597,74,15.6
0-17,188369,12/14/2020,11.6,3,0,22.5
18-49,958476,12/14/2020,59.3,1502,7.1,43.5
50-64,303461,12/14/2020,18.8,4017,19,18.4
65,165856,12/14/2020,10.3,15655,73.9,15.6
0-17,195429,12/15/2020,11.7,3,0,22.5
18-49,989940,12/15/2020,59.2,1512,7.1,43.5
50-64,313464,12/15/2020,18.8,4053,18.9,18.4
65,171018,12/15/2020,10.2,15841,74,15.6
0-17,202824,12/16/2020,11.8,3,0,22.5
18-49,1020056,12/16/2020,59.2,1532,7,43.5
50-64,323215,12/16/2020,18.8,4133,18.9,18.4
65,176030,12/16/2020,10.2,16148,74,15.6
0-17,208045,12/17/2020,11.8,4,0,22.5
18-49,1043558,12/17/2020,59.1,1549,7,43.5
50-64,331246,12/17/2020,18.8,4172,18.9,18.4
65,180273,12/17/2020,10.2,16354,74.1,15.6
0-17,213673,12/18/2020,11.8,4,0,22.5
18-49,1068602,12/18/2020,59.1,1567,7,43.5
50-64,339716,12/18/2020,18.8,4221,18.9,18.4
65,184721,12/18/2020,10.2,16553,74.1,15.6
0-17,219738,12/19/2020,11.8,4,0,22.5
18-49,1094812,12/19/2020,59,1581,7,43.5
50-64,348936,12/19/2020,18.8,4256,18.9,18.4
65,189671,12/19/2020,10.2,16729,74.1,15.6
0-17,224882,12/20/2020,11.9,4,0,22.5
18-49,1116119,12/20/2020,59,1588,7,43.5
50-64,356328,12/20/2020,18.8,4278,18.8,18.4
65,193693,12/20/2020,10.2,16844,74.2,15.6
0-17,229284,12/21/2020,11.9,4,0,22.5
18-49,1134542,12/21/2020,58.9,1603,7,43.5
50-64,362733,12/21/2020,18.8,4296,18.8,18.4
65,197117,12/21/2020,10.2,16922,74.1,15.6
0-17,234174,12/22/2020,11.9,4,0,22.5
18-49,1156574,12/22/2020,58.9,1621,7,43.5
50-64,370623,12/22/2020,18.9,4347,18.8,18.4
65,201338,12/22/2020,10.3,17124,74.1,15.6
0-17,234174,12/23/2020,11.9,4,0,22.5
18-49,1156574,12/23/2020,58.9,1621,7,43.5
50-64,370623,12/23/2020,18.9,4347,18.8,18.4
65,201338,12/23/2020,10.3,17124,74.1,15.6
0-17,244351,12/24/2020,12,5,0,22.5
18-49,1200331,12/24/2020,58.8,1656,7,43.5
50-64,386028,12/24/2020,18.9,4452,18.8,18.4
65,210115,12/24/2020,10.3,17608,74.2,15.6
0-17,248331,12/25/2020,12,5,0,22.5
18-49,1217554,12/25/2020,58.7,1666,7,43.5
50-64,391940,12/25/2020,18.9,4487,18.8,18.4
65,213365,12/25/2020,10.3,17740,74.2,15.6
0-17,255715,12/26/2020,12,5,0,22.5
18-49,1245473,12/26/2020,58.7,1675,6.9,43.5
50-64,401601,12/26/2020,18.9,4528,18.8,18.4
65,218524,12/26/2020,10.3,17909,74.2,15.6
0-17,260305,12/27/2020,12.1,5,0,22.5
18-49,1263780,12/27/2020,58.6,1682,7,43.5
50-64,408076,12/27/2020,18.9,4546,18.8,18.4
65,222306,12/27/2020,10.3,17958,74.2,15.6
0-17,264242,12/28/2020,12.1,5,0,22.5
18-49,1280947,12/28/2020,58.6,1692,7,43.5
50-64,414336,12/28/2020,18.9,4569,18.8,18.4
65,226184,12/28/2020,10.3,18042,74.2,15.6
0-17,268121,12/29/2020,12.1,6,0,22.5
18-49,1298364,12/29/2020,58.5,1722,7,43.5
50-64,420482,12/29/2020,19,4634,18.7,18.4
65,229656,12/29/2020,10.4,18372,74.3,15.6
0-17,268121,12/30/2020,12.1,6,0,22.5
18-49,1298364,12/30/2020,58.5,1722,7,43.5
50-64,420482,12/30/2020,19,4634,18.7,18.4
65,229656,12/30/2020,10.4,18372,74.3,15.6
0-17,277420,12/31/2020,12.1,6,0,22.5
18-49,1341369,12/31/2020,58.5,1778,6.9,43.5
50-64,434628,12/31/2020,19,4797,18.6,18.4
65,237603,12/31/2020,10.4,19217,74.5,15.6
0-17,284404,1/1/2021,12.1,6,0,22.5
18-49,1372058,1/1/2021,58.5,1807,6.9,43.5
50-64,444733,1/1/2021,19,4874,18.6,18.4
65,243143,1/1/2021,10.4,19545,74.5,15.6
0-17,290655,1/2/2021,12.2,6,0,22.5
18-49,1397879,1/2/2021,58.5,1834,6.9,43.5
50-64,453356,1/2/2021,19,4920,18.6,18.4
65,247791,1/2/2021,10.4,19727,74.5,15.6
0-17,294879,1/3/2021,12.2,6,0,22.5
18-49,1414371,1/3/2021,58.4,1825,6.9,43.5
50-64,459070,1/3/2021,19,4939,18.6,18.4
65,251000,1/3/2021,10.4,19787,74.5,15.6
0-17,298917,1/4/2021,12.2,6,0,22.5
18-49,1431570,1/4/2021,58.4,1847,6.9,43.5
50-64,465397,1/4/2021,19,4981,18.6,18.4
65,254873,1/4/2021,10.4,19969,74.5,15.6
0-17,303249,1/5/2021,12.2,6,0,22.5
18-49,1448341,1/5/2021,58.3,1869,6.9,43.5
50-64,471057,1/5/2021,19,5059,18.6,18.4
65,257996,1/5/2021,10.4,20284,74.5,15.6
0-17,307852,1/6/2021,12.2,6,0,22.5
18-49,1468660,1/6/2021,58.3,1905,6.8,43.5
50-64,477988,1/6/2021,19,5160,18.6,18.4
65,262405,1/6/2021,10.4,20734,74.6,15.6
0-17,314694,1/7/2021,12.3,6,0,22.5
18-49,1497244,1/7/2021,58.3,1940,6.8,43.5
50-64,487547,1/7/2021,19,5254,18.5,18.4
65,267362,1/7/2021,10.4,21161,74.6,15.6
0-17,321802,1/8/2021,12.3,6,0,22.5
18-49,1527536,1/8/2021,58.3,1983,6.8,43.5
50-64,497350,1/8/2021,19,5369,18.5,18.4
65,272795,1/8/2021,10.4,21633,74.6,15.6
0-17,328748,1/9/2021,12.3,6,0,22.5
18-49,1555858,1/9/2021,58.3,2007,6.8,43.5
50-64,506646,1/9/2021,19,5459,18.5,18.4
65,277893,1/9/2021,10.4,22018,74.6,15.6
0-17,334451,1/10/2021,12.3,6,0,22.5
18-49,1578202,1/10/2021,58.2,2036,6.8,43.5
50-64,514231,1/10/2021,19,5527,18.5,18.4
65,282092,1/10/2021,10.4,22336,74.7,15.6
0-17,339927,1/11/2021,12.4,6,0,22.5
18-49,1598547,1/11/2021,58.2,2047,6.8,43.5
50-64,521163,1/11/2021,19,5564,18.5,18.4
65,285832,1/11/2021,10.4,22483,74.7,15.6
0-17,344861,1/12/2021,12.4,6,0,22.5
18-49,1617300,1/12/2021,58.2,2078,6.8,43.5
50-64,527510,1/12/2021,19,5669,18.5,18.4
65,289522,1/12/2021,10.4,22926,74.7,15.6
0-17,350118,1/13/2021,12.4,6,0,22.5
18-49,1637122,1/13/2021,58.1,2112,6.8,43.5
50-64,534354,1/13/2021,19,5750,18.4,18.4
65,293498,1/13/2021,10.4,23347,74.8,15.6
0-17,356370,1/14/2021,12.5,6,0,22.5
18-49,1660484,1/14/2021,58.1,2135,6.7,43.5
50-64,542772,1/14/2021,19,5806,18.3,18.4
65,298095,1/14/2021,10.4,23693,74.9,15.6
0-17,362473,1/15/2021,12.5,6,0,22.5
18-49,1682630,1/15/2021,58,2176,6.7,43.5
50-64,550676,1/15/2021,19,5928,18.4,18.4
65,302548,1/15/2021,10.4,24133,74.8,15.6
0-17,368936,1/16/2021,12.5,6,0,22.5
18-49,1705601,1/16/2021,58,2211,6.7,43.5
50-64,558733,1/16/2021,19,6039,18.4,18.4
65,307249,1/16/2021,10.4,24550,74.8,15.6
0-17,373656,1/17/2021,12.6,6,0,22.5
18-49,1722010,1/17/2021,57.9,2228,6.7,43.5
50-64,564745,1/17/2021,19,6117,18.5,18.4
65,310785,1/17/2021,10.5,24781,74.8,15.6
0-17,377455,1/18/2021,12.6,6,0,22.5
18-49,1734696,1/18/2021,57.9,2238,6.7,43.5
50-64,569334,1/18/2021,19,6168,18.5,18.4
65,313509,1/18/2021,10.5,24944,74.8,15.6
0-17,380783,1/19/2021,12.6,6,0,22.5
18-49,1746895,1/19/2021,57.9,2257,6.7,43.5
50-64,573727,1/19/2021,19,6232,18.5,18.4
65,315996,1/19/2021,10.5,25187,74.8,15.6
0-17,383407,1/20/2021,12.6,7,0,22.5
18-49,1757542,1/20/2021,57.8,2298,6.7,43.5
50-64,577746,1/20/2021,19,6380,18.6,18.4
65,318359,1/20/2021,10.5,25653,74.7,15.6
0-17,386617,1/21/2021,12.6,9,0,22.5
18-49,1769880,1/21/2021,57.8,2347,6.7,43.5
50-64,582324,1/21/2021,19,6512,18.6,18.4
65,321246,1/21/2021,10.5,26153,74.7,15.6
0-17,389721,1/22/2021,12.6,9,0,22.5
18-49,1782501,1/22/2021,57.8,2373,6.7,43.5
50-64,586778,1/22/2021,19,6611,18.6,18.4
65,324030,1/22/2021,10.5,26543,74.7,15.6
0-17,393279,1/23/2021,12.6,9,0,22.5
18-49,1795806,1/23/2021,57.8,2415,6.7,43.5
50-64,591372,1/23/2021,19,6752,18.6,18.4
65,326670,1/23/2021,10.5,27024,74.6,15.6
0-17,397453,1/24/2021,12.7,9,0,22.5
18-49,1810255,1/24/2021,57.7,2427,6.7,43.5
50-64,596666,1/24/2021,19,6787,18.6,18.4
65,329760,1/24/2021,10.5,27216,74.7,15.6
0-17,400095,1/25/2021,12.7,9,0,22.5
18-49,1819350,1/25/2021,57.7,2436,6.6,43.5
50-64,600018,1/25/2021,19,6832,18.6,18.4
65,331706,1/25/2021,10.5,27373,74.7,15.6
0-17,402283,1/26/2021,12.7,9,0,22.5
18-49,1828399,1/26/2021,57.7,2476,6.6,43.5
50-64,603406,1/26/2021,19,6964,18.7,18.4
65,333827,1/26/2021,10.5,27868,74.7,15.6
0-17,404631,1/27/2021,12.7,9,0,22.5
18-49,1837255,1/27/2021,57.7,2523,6.6,43.5
50-64,606779,1/27/2021,19,7114,18.7,18.4
65,335853,1/27/2021,10.5,28415,74.6,15.6
0-17,407198,1/28/2021,12.7,11,0,22.5
18-49,1847694,1/28/2021,57.6,2567,6.6,43.5
50-64,610690,1/28/2021,19,7229,18.7,18.4
65,338251,1/28/2021,10.6,28852,74.6,15.6
0-17,409826,1/29/2021,12.7,11,0,22.5
18-49,1857546,1/29/2021,57.6,2616,6.7,43.5
50-64,614408,1/29/2021,19.1,7364,18.7,18.4
65,340478,1/29/2021,10.6,29323,74.6,15.6
0-17,412601,1/30/2021,12.7,12,0,22.5
18-49,1867867,1/30/2021,57.6,2662,6.7,43.5
50-64,618143,1/30/2021,19.1,7496,18.8,18.4
65,342610,1/30/2021,10.6,29734,74.5,15.6
0-17,414991,1/31/2021,12.7,12,0,22.5
18-49,1876071,1/31/2021,57.6,2691,6.7,43.5
50-64,621018,1/31/2021,19.1,7568,18.8,18.4
65,344502,1/31/2021,10.6,29984,74.5,15.6
0-17,416891,2/1/2021,12.7,12,0,22.5
18-49,1882333,2/1/2021,57.6,2702,6.7,43.5
50-64,623439,2/1/2021,19.1,7611,18.8,18.4
65,345985,2/1/2021,10.6,30124,74.5,15.6
0-17,418365,2/2/2021,12.8,12,0,22.5
18-49,1887798,2/2/2021,57.5,2748,6.7,43.5
50-64,625572,2/2/2021,19.1,7727,18.8,18.4
65,347383,2/2/2021,10.6,30523,74.4,15.6
0-17,420213,2/3/2021,12.8,12,0,22.5
18-49,1894834,2/3/2021,57.5,2802,6.7,43.5
50-64,628226,2/3/2021,19.1,7849,18.9,18.4
65,349039,2/3/2021,10.6,30962,74.4,15.6
0-17,422274,2/4/2021,12.8,12,0,22.5
18-49,1902343,2/4/2021,57.5,2851,6.7,43.5
50-64,630958,2/4/2021,19.1,8010,18.9,18.4
65,350812,2/4/2021,10.6,31531,74.3,15.6
0-17,424067,2/5/2021,12.8,13,0,22.5
18-49,1908979,2/5/2021,57.5,2897,6.7,43.5
50-64,633364,2/5/2021,19.1,8122,18.9,18.4
65,352363,2/5/2021,10.6,31976,74.3,15.6
0-17,426326,2/6/2021,12.8,13,0,22.5
18-49,1917098,2/6/2021,57.5,2921,6.7,43.5
50-64,636296,2/6/2021,19.1,8214,18.9,18.4
65,354119,2/6/2021,10.6,32298,74.3,15.6
0-17,427969,2/7/2021,12.8,13,0,22.5
18-49,1922508,2/7/2021,57.5,2942,6.7,43.5
50-64,638410,2/7/2021,19.1,8262,18.9,18.4
65,355369,2/7/2021,10.6,32506,74.3,15.6
0-17,429257,2/8/2021,12.8,13,0,22.5
18-49,1926874,2/8/2021,57.4,2955,6.7,43.5
50-64,640035,2/8/2021,19.1,8301,18.9,18.4
65,356332,2/8/2021,10.6,32625,74.3,15.6
0-17,430453,2/9/2021,12.8,13,0,22.5
18-49,1931294,2/9/2021,57.4,2985,6.7,43.5
50-64,641686,2/9/2021,19.1,8418,18.9,18.4
65,357449,2/9/2021,10.6,33000,74.3,15.6
0-17,431804,2/10/2021,12.8,13,0,22.5
18-49,1935819,2/10/2021,57.4,3021,6.7,43.5
50-64,643344,2/10/2021,19.1,8537,19,18.4
65,358485,2/10/2021,10.6,33409,74.3,15.6
0-17,433159,2/11/2021,12.8,13,0,22.5
18-49,1941204,2/11/2021,57.4,3050,6.7,43.5
50-64,645327,2/11/2021,19.1,8663,19,18.4
65,359817,2/11/2021,10.6,33785,74.2,15.6
0-17,434526,2/12/2021,12.8,13,0,22.5
18-49,1946247,2/12/2021,57.4,3069,6.7,43.5
50-64,647161,2/12/2021,19.1,8762,19.1,18.4
65,360993,2/12/2021,10.6,34133,74.2,15.6
0-17,435945,2/13/2021,12.8,13,0,22.5
18-49,1950953,2/13/2021,57.4,3100,6.7,43.5
50-64,648871,2/13/2021,19.1,8853,19.1,18.4
65,361993,2/13/2021,10.6,34483,74.2,15.6
0-17,436921,2/14/2021,12.8,13,0,22.5
18-49,1954321,2/14/2021,57.4,3113,6.7,43.5
50-64,650118,2/14/2021,19.1,8903,19.1,18.4
65,362882,2/14/2021,10.7,34683,74.2,15.6
0-17,437865,2/15/2021,12.8,13,0,22.5
18-49,1957294,2/15/2021,57.4,3118,6.7,43.5
50-64,651225,2/15/2021,19.1,8926,19.1,18.4
65,363548,2/15/2021,10.7,34731,74.2,15.6
0-17,438493,2/16/2021,12.8,13,0,22.5
18-49,1959463,2/16/2021,57.4,3138,6.7,43.5
50-64,652016,2/16/2021,19.1,8986,19.1,18.4
65,364046,2/16/2021,10.7,34942,74.2,15.6
0-17,439176,2/17/2021,12.8,14,0,22.5
18-49,1962504,2/17/2021,57.4,3157,6.6,43.5
50-64,653133,2/17/2021,19.1,9089,19.1,18.4
65,364781,2/17/2021,10.7,35269,74.2,15.6
0-17,440098,2/18/2021,12.8,14,0,22.5
18-49,1966284,2/18/2021,57.4,3183,6.6,43.5
50-64,654421,2/18/2021,19.1,9173,19.1,18.4
65,365575,2/18/2021,10.7,35596,74.2,15.6
0-17,440968,2/19/2021,12.8,14,0,22.5
18-49,1969895,2/19/2021,57.3,3221,6.7,43.5
50-64,655764,2/19/2021,19.1,9265,19.1,18.4
65,366399,2/19/2021,10.7,35906,74.2,15.6
0-17,441978,2/20/2021,12.8,14,0,22.5
18-49,1973516,2/20/2021,57.3,3245,6.6,43.5
50-64,657076,2/20/2021,19.1,9364,19.2,18.4
65,367229,2/20/2021,10.7,36177,74.1,15.6
0-17,442690,2/21/2021,12.8,14,0,22.5
18-49,1976055,2/21/2021,57.3,3269,6.7,43.5
50-64,657968,2/21/2021,19.1,9427,19.2,18.4
65,367754,2/21/2021,10.7,36322,74.1,15.6
0-17,443234,2/22/2021,12.8,14,0,22.5
18-49,1977904,2/22/2021,57.3,3273,6.7,43.5
50-64,658650,2/22/2021,19.1,9441,19.2,18.4
65,368121,2/22/2021,10.7,36394,74.1,15.6
0-17,443900,2/23/2021,12.8,14,0,22.5
18-49,1980770,2/23/2021,57.3,3302,6.7,43.5
50-64,659757,2/23/2021,19.1,9517,19.2,18.4
65,368784,2/23/2021,10.7,36631,74,15.6
0-17,444547,2/24/2021,12.8,14,0,22.5
18-49,1983548,2/24/2021,57.3,3377,6.7,43.5
50-64,660785,2/24/2021,19.1,9741,19.2,18.4
65,369313,2/24/2021,10.7,37510,74.1,15.6
0-17,445314,2/25/2021,12.8,14,0,22.5
18-49,1986471,2/25/2021,57.3,3413,6.7,43.5
50-64,661836,2/25/2021,19.1,9841,19.3,18.4
65,369969,2/25/2021,10.7,37847,74,15.6
0-17,446057,2/26/2021,12.9,14,0,22.5
18-49,1989308,2/26/2021,57.3,3428,6.7,43.5
50-64,662816,2/26/2021,19.1,9931,19.3,18.4
65,370554,2/26/2021,10.7,38126,74,15.6
0-17,446763,2/27/2021,12.9,14,0,22.5
18-49,1991839,2/27/2021,57.3,3441,6.6,43.5
50-64,663739,2/27/2021,19.1,9991,19.3,18.4
65,371071,2/27/2021,10.7,38342,74,15.6
0-17,447354,2/28/2021,12.9,14,0,22.5
18-49,1993740,2/28/2021,57.3,3459,6.6,43.5
50-64,664406,2/28/2021,19.1,10056,19.3,18.4
65,371427,2/28/2021,10.7,38498,74,15.6
0-17,447770,3/1/2021,12.9,14,0,22.5
18-49,1995109,3/1/2021,57.3,3467,6.7,43.5
50-64,664879,3/1/2021,19.1,10069,19.3,18.4
65,371704,3/1/2021,10.7,38574,74,15.6
0-17,448193,3/2/2021,12.9,14,0,22.5
18-49,1996925,3/2/2021,57.3,3482,6.6,43.5
50-64,665595,3/2/2021,19.1,10127,19.3,18.4
65,372106,3/2/2021,10.7,38801,74,15.6
0-17,448653,3/3/2021,12.9,14,0,22.5
18-49,1998780,3/3/2021,57.3,3515,6.7,43.5
50-64,666332,3/3/2021,19.1,10232,19.4,18.4
65,372554,3/3/2021,10.7,39056,73.9,15.6
0-17,449313,3/4/2021,12.9,14,0,22.5
18-49,2001313,3/4/2021,57.3,3534,6.6,43.5
50-64,667234,3/4/2021,19.1,10301,19.4,18.4
65,373112,3/4/2021,10.7,39339,74,15.6
0-17,449972,3/5/2021,12.9,14,0,22.5
18-49,2003731,3/5/2021,57.3,3550,6.6,43.5
50-64,668098,3/5/2021,19.1,10369,19.4,18.4
65,373601,3/5/2021,10.7,39525,73.9,15.6
0-17,450519,3/6/2021,12.9,14,0,22.5
18-49,2005831,3/6/2021,57.3,3565,6.6,43.5
50-64,668847,3/6/2021,19.1,10429,19.4,18.4
65,374031,3/6/2021,10.7,39708,73.9,15.6
0-17,451015,3/7/2021,12.9,14,0,22.5
18-49,2007650,3/7/2021,57.3,3567,6.6,43.5
50-64,669481,3/7/2021,19.1,10447,19.4,18.4
65,374342,3/7/2021,10.7,39793,73.9,15.6
0-17,451462,3/8/2021,12.9,14,0,22.5
18-49,2009104,3/8/2021,57.3,3572,6.6,43.5
50-64,669976,3/8/2021,19.1,10458,19.4,18.4
65,374560,3/8/2021,10.7,39827,73.9,15.6
0-17,451984,3/9/2021,12.9,14,0,22.5
18-49,2012786,3/9/2021,57.3,3601,6.6,43.5
50-64,671260,3/9/2021,19.1,10544,19.4,18.4
65,375480,3/9/2021,10.7,40153,73.9,15.6
0-17,452443,3/10/2021,12.9,14,0,22.5
18-49,2014716,3/10/2021,57.3,3620,6.6,43.5
50-64,671794,3/10/2021,19.1,10593,19.4,18.4
65,375736,3/10/2021,10.7,40354,73.9,15.6
0-17,452919,3/11/2021,12.9,14,0,22.5
18-49,2016747,3/11/2021,57.3,3636,6.6,43.5
50-64,672444,3/11/2021,19.1,10665,19.4,18.4
65,376063,3/11/2021,10.7,40556,73.9,15.6
